wp_id,old_url,new_permalink,output_file
965,https://gdfm.me/2013/01/08/first-workshop-on-social-news-on-the-web-www-13-rio-de-janeiro-brazil/,/blog/2013/01/first-workshop-on-social-news-on-the-web-www-13-rio-de-janeiro-brazil/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-01-08-first-workshop-on-social-news-on-the-web-www-13-rio-de-janeiro-brazil.md
976,https://gdfm.me/2013/01/11/976/,/blog/2013/01/976/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-01-11-976.md
988,https://gdfm.me/2013/02/17/half-marathon/,/blog/2013/02/half-marathon/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-02-17-half-marathon.md
992,https://gdfm.me/2013/03/01/research-makes-you-feel-stupid/,/blog/2013/03/research-makes-you-feel-stupid/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-03-01-research-makes-you-feel-stupid.md
1013,https://gdfm.me/2013/04/05/big-data-is-sort-of-like-zen/,/blog/2013/04/big-data-is-sort-of-like-zen/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-04-05-big-data-is-sort-of-like-zen.md
914,https://gdfm.me/2013/04/06/google-glass-and-the-black-mirror/,/blog/2013/04/google-glass-and-the-black-mirror/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-04-06-google-glass-and-the-black-mirror.md
1031,https://gdfm.me/2013/05/02/algorithms-every-data-scientist-should-know-reservoir-sampling/,/blog/2013/05/algorithms-every-data-scientist-should-know-reservoir-sampling/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-05-02-algorithms-every-data-scientist-should-know-reservoir-sampling.md
1062,https://gdfm.me/2013/06/25/frequentist-vs-bayesian/,/blog/2013/06/frequentist-vs-bayesian/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-06-25-frequentist-vs-bayesian.md
852,https://gdfm.me/2013/07/09/the-amazing-power-of-software-2/,/blog/2013/07/the-amazing-power-of-software-2/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-07-09-the-amazing-power-of-software-2.md
979,https://gdfm.me/2013/08/30/performance-a-matter-of-scale/,/blog/2013/08/performance-a-matter-of-scale/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-08-30-performance-a-matter-of-scale.md
1057,https://gdfm.me/2013/09/22/the-art-of-approximating-distributions-histograms-and-quantiles-at-scale/,/blog/2013/09/the-art-of-approximating-distributions-histograms-and-quantiles-at-scale/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-09-22-the-art-of-approximating-distributions-histograms-and-quantiles-at-scale.md
1072,https://gdfm.me/2013/10/29/samoa-an-open-source-platform-for-mining-big-data-streams/,/blog/2013/10/samoa-an-open-source-platform-for-mining-big-data-streams/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-10-29-samoa-an-open-source-platform-for-mining-big-data-streams.md
1078,https://gdfm.me/2013/11/20/let-it-snow/,/blog/2013/11/let-it-snow/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-11-20-let-it-snow.md
1092,https://gdfm.me/2013/12/17/the-log-and-the-stream/,/blog/2013/12/the-log-and-the-stream/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-12-17-the-log-and-the-stream.md
1094,https://gdfm.me/2013/12/22/the-bestseller-psychology/,/blog/2013/12/the-bestseller-psychology/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-12-22-the-bestseller-psychology.md
1096,https://gdfm.me/2013/12/31/2013-in-review/,/blog/2013/12/2013-in-review/,/mnt/data/kenkyuu_jekyll_blog_clean_frontmatter/_posts/2013-12-31-2013-in-review.md
